Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
175516,The Fall of the House of Usher,Edgar Allan Poe,"Poe, Edgar Allan",,1594561796,9.78159E+12,0,BookSurge Classics,Paperback,36,2004,1839,,28/5/2024,to-read,to-read (#56),to-read,,,,0,0
16640,The Sorrows of Young Werther,Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von","Burton Pike, R. Dillon Boylan, Elizabeth Wolff Mayer",812969901,9.78081E+12,0,Modern Library,Paperback,149,2005,1774,,27/5/2024,to-read,to-read (#55),to-read,,,,0,0
97411,Letters from a Stoic,Seneca,"Seneca, Seneca",,140442103,9.78014E+12,0,Penguin Books,Paperback,254,2004,64,,26/5/2024,to-read,to-read (#54),to-read,,,,0,0
356896,The Greatest Salesman in the World,Og Mandino,"Mandino, Og",,055327757X,9.78055E+12,0,Bantam,Mass Market Paperback,118,1983,1968,,16/5/2024,to-read,to-read (#53),to-read,,,,0,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,812550706,9.78081E+12,0,Tor,Mass Market Paperback,324,2004,1985,,15/5/2024,to-read,to-read (#52),to-read,,,,0,0
11989,The Plague,Albert Camus,"Camus, Albert",Stuart Gilbert,,,0,Vintage International,Paperback,308,1991,1947,,15/5/2024,to-read,to-read (#51),to-read,,,,0,0
386162,"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,,,0,Del Rey,Paperback,193,2007,1979,,15/5/2024,to-read,to-read (#50),to-read,,,,0,0
40740914,If Cats Disappeared from the World,Genki Kawamura,"Kawamura, Genki",Eric Selland,1509889175,9.78151E+12,0,Picador,Paperback,202,2018,2012,,15/5/2024,to-read,to-read (#49),to-read,,,,0,0
7763161,God Arises: Evidence of God in Nature and in Science,Wahiduddin Khan,"Khan, Wahiduddin",Farida Khanam,8185063141,9.78819E+12,3,Goodword Books,,287,2005,,14/5/2024,29/4/2024,,,read,,,,1,0
6454477,The Red Book: Liber Novus,C.G. Jung,"Jung, C.G.","Sonu Shamdasani, Mark Kyburz, John Peck, Ulrich Hoerni",393065677,9.78039E+12,0,W. W. Norton & Company,Hardcover,371,2009,2009,,7/5/2024,to-read,to-read (#48),to-read,,,,0,0
1772910,White Nights,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Olga Shartse,,,4,,Paperback,82,1848,1848,24/4/2024,9/2/2024,,,read,,,,1,0
11590,’Salem’s Lot,Stephen  King,"King, Stephen",,450031063,9.78045E+12,0,New English Library,Paperback,483,1991,1975,,17/4/2024,to-read,to-read (#47),to-read,,,,0,0
370493,The Giving Tree,Shel Silverstein,"Silverstein, Shel",,60256656,9.78006E+12,0,HarperCollins Publishers,Hardcover,64,1964,1964,,17/4/2024,to-read,to-read (#46),to-read,,,,0,0
6047138,Curfewed Night,Basharat Peer,"Peer, Basharat",,8184000340,9.78818E+12,0,Random House,Hardcover,256,2009,2009,,17/4/2024,to-read,to-read (#45),to-read,,,,0,0
91950,The Myth of Sisyphus,Albert Camus,"Camus, Albert",Justin O'Brien,,,0,Penguin Classics,Paperback,192,2013,1942,,17/4/2024,to-read,to-read (#44),to-read,,,,0,0
4934,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky",374528373,9.78037E+12,0,"Farrar, Straus and Giroux",Paperback,796,2002,1879,,7/4/2024,to-read,to-read (#43),to-read,,,,0,0
59716,To the Lighthouse,Virginia Woolf,"Woolf, Virginia",Eudora Welty,,,0,Harvest Books,Paperback,209,1989,1927,,1/3/2024,to-read,to-read (#42),to-read,,,,0,0
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,,,0,Harper Perennial Modern Classics,Paperback,294,2006,1963,,1/3/2024,to-read,to-read (#41),to-read,,,,0,0
40961230,The Travelling Cat Chronicles,Hiro Arikawa,"Arikawa, Hiro",Philip Gabriel,735235244,9.78074E+12,0,Viking,Kindle Edition,281,2018,2012,,25/2/2024,to-read,to-read (#40),to-read,,,,0,0
52578297,"The Midnight Library (The Midnight World, #1)",Matt Haig,"Haig, Matt",,525559477,9.78053E+12,3,Viking,Hardcover,288,2020,2020,13/2/2023,15/3/2022,,,read,,,,1,0
5805,V for Vendetta,Alan Moore,"Moore, Alan","David   Lloyd, Steve Whitaker, Siobhan Dodds",1401207928,9.7814E+12,0,Vertigo,Hardcover,296,2005,1990,,10/12/2023,to-read,to-read (#39),to-read,,,,0,0
21951878,A Potrait of the Artist As A Young Man,James Joyce,"Joyce, James",,,,0,Viking Press,Paperback,253,,1916,,10/12/2023,to-read,to-read (#38),to-read,,,,0,0
72624185,The Trial,Franz Kafka,"Kafka, Franz",,9394178406,9.78939E+12,0,ADHYAYA BOOKS HOUSE LLP,Paperback,250,2022,1925,,26/10/2023,to-read,to-read (#37),to-read,,,,0,0
24583,The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark","Guy Cardwell, John Seelye, Mark Hallaq, Amanda Lee",,9.78014E+12,0,Penguin Classics,Paperback,244,2006,1876,,2/12/2023,to-read,to-read (#36),to-read,,,,0,0
11275,The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",Jay Rubin,965341984,9.78097E+12,0,Knopf,Paperback,607,1997,1994,,30/10/2023,to-read,to-read (#35),to-read,,,,0,0
6185,Wuthering Heights,Emily Brontë,"Brontë, Emily","Richard J. Dunn, Charlotte Brontë, John Bugg, Robert Heindel",,,0,Norton,Paperback,464,2002,1847,,29/10/2023,to-read,to-read (#34),to-read,,,,0,0
291,The Broken Wings,Kahlil Gibran,"Gibran, Kahlil",Anthony Rizcallah Ferris,806501901,9.78081E+12,5,Kensington Publishing Corp.,Paperback,132,1998,1912,25/10/2023,24/10/2023,,,read,,,,1,0
49455,Notes from Underground,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky, Donald Fanger",067973452X,9.78068E+12,0,Vintage Classics,Paperback,136,1994,1864,,19/10/2023,to-read,to-read (#33),to-read,,,,0,0
56302573,Farenheit 451,Ray Bradbury,"Bradbury, Ray",,,,0,Qanun Nəşriyyatı,Unknown Binding,208,2019,1963,,19/10/2023,to-read,to-read (#32),to-read,,,,0,0
141352,A Hunger Artist (Short Prose of Franz Kafka),Franz Kafka,"Kafka, Franz","Helen Vlcnovska, Kevin Blahut",8090217117,9.78809E+12,0,Twisted Spoon Press,Hardcover,84,1996,1924,,15/10/2023,to-read,to-read (#31),to-read,,,,0,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank, Fyodor Dostoyevsky",,,0,Penguin,Paperback,671,2002,1866,,15/10/2023,to-read,to-read (#30),to-read,,,,0,0
1319,The War of Art,Steven Pressfield,"Pressfield, Steven",Robert McKee,,,0,Warner Books,Paperback,168,2003,2002,,13/10/2023,to-read,to-read (#29),to-read,,,,0,0
321559,The Country Without a Post Office,Agha Shahid Ali,"Ali, Agha Shahid",,393317617,9.78039E+12,0,W. W. Norton & Company,Paperback,98,1998,1997,1/9/2023,21/8/2023,,,read,,,,1,0
43453391,Best of Faiz,Kuldip Salil,"Salil, Kuldip",,,,4,Rajpal and Sons,Kindle Edition,176,2017,,27/8/2023,21/8/2023,,,read,,,,1,0
40139225,The Alter Ego Effect: The Power of Secret Identities to Transform Your Life,Todd  Herman,"Herman, Todd",,62838636,9.78006E+12,0,Harper Business,Hardcover,272,2019,2019,,30/8/2023,to-read,to-read (#28),to-read,,,,0,0
51071872,"Boundless: Upgrade Your Brain, Optimize Your Body  Defy Aging",Ben Greenfield,"Greenfield, Ben",,1628603976,9.78163E+12,0,Victory Belt Publishing,Hardcover,640,2020,2020,,30/8/2023,to-read,to-read (#27),to-read,,,,0,0
18077875,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,804137382,9.7808E+12,0,Crown Currency,Hardcover,260,2014,2011,,30/8/2023,to-read,to-read (#26),to-read,,,,0,0
58107,Bobby Fischer Teaches Chess,Bobby Fischer,"Fischer, Bobby","Stuart Margulies, Don Mosenfelder",553263153,9.78055E+12,0,Bantam,Paperback,352,1982,1966,13/8/2023,16/4/2023,,,read,,,,1,0
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,1455586692,9.78146E+12,2,Grand Central Publishing,Hardcover,296,2016,2016,30/3/2023,16/2/2023,,,read,,,,1,0
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Ilse Lasch",080701429X,9.78081E+12,1,Beacon Press,Paperback,165,2006,1946,30/3/2023,25/2/2022,,,read,,,,1,0
1645028,The Merry Adventures of Robin Hood,Deborah Kestel,"Kestel, Deborah","Howard Pyle, Pablo Marcos",1577656946,9.78158E+12,0,Spotlight,Library Binding,238,2006,1979,,3/3/2023,,,read,,,,1,0
18872437,The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime!,M.J. DeMarco,"DeMarco, M.J.",,984358102,9.78098E+12,5,Viperion Publishing Corp,Paperback,322,2011,2010,1/3/2023,11/12/2022,,,read,,,,1,0
36739769,The Third Door: The Wild Quest to Uncover How the World's Most Successful People Launched Their Careers,Alex Banayan,"Banayan, Alex",,,,0,Currency,Hardcover,320,2018,2018,,28/2/2023,to-read,to-read (#25),to-read,,,,0,0
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,312330871,9.78031E+12,4,St. Martin's Griffin,Paperback,264,2004,1939,27/2/2023,16/2/2023,,,read,,,,1,0
54304221,How to Not Die Alone: The Surprising Science That Will Help You Find Love,Logan Ury,"Ury, Logan",,1982120622,9.78198E+12,0,Simon & Schuster,Hardcover,352,2021,2021,,23/2/2023,to-read,to-read (#24),to-read,,,,0,0
79424,"The Way of the Superior Man: A Spiritual Guide to Mastering the Challenges of Women, Work, and Sexual Desire",David Deida,"Deida, David",,1591792576,9.78159E+12,0,Sounds True,Paperback,202,2004,1997,,23/2/2023,to-read,to-read (#23),to-read,,,,0,0
295,Treasure Island,Robert Louis Stevenson,"Stevenson, Robert Louis",Newell Convers Wyeth,753453800,9.78075E+12,0,Kingfisher,Hardcover,352,2001,1882,,19/2/2023,,,read,,,,1,0
9361589,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,,9.78039E+12,0,Doubleday,Hardcover,506,2011,2011,,16/2/2023,to-read,to-read (#22),to-read,,,,0,0
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Eleanor Roosevelt, Susan Massotty, Γιάννης Θωμόπουλος, Barbara Mooyaart-Doubleday, Otto H. Frank, Mirjam Pressler",,,0,Bantam,Mass Market Paperback,283,1993,1947,,16/2/2023,to-read,to-read (#21),to-read,,,,0,0
41057294,Normal People,Sally Rooney,"Rooney, Sally",,1984822179,9.78198E+12,0,Crown,Hardcover,273,2019,2018,,16/2/2023,to-read,to-read (#20),to-read,,,,0,0
22557272,The Girl on the Train,Paula Hawkins,"Hawkins, Paula",,1594633665,9.78159E+12,0,Riverhead Books,Hardcover,336,2015,2015,,16/2/2023,to-read,to-read (#19),to-read,,,,0,0
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,1529029589,9.78153E+12,0,Picador,Paperback,213,2019,2015,,16/2/2023,to-read,to-read (#18),to-read,,,,0,0
853510,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",,7119313,9.78001E+12,0,HarperCollins,Paperback,347,2007,1934,,16/2/2023,to-read,to-read (#17),to-read,,,,0,0
960,"Angels & Demons (Robert Langdon, #1)",Dan    Brown,"Brown, Dan",,1416524797,9.78142E+12,0,Pocket Books,Mass Market Paperback,736,2006,2000,,16/2/2023,to-read,to-read (#16),to-read,,,,0,0
6779,"Six Not So Easy Pieces: Einstein's Relativity, Symmetry, and Space-Time",Richard P. Feynman,"Feynman, Richard P.",Roger Penrose,465023932,9.78047E+12,0,Basic Books,Paperback,184,2005,1963,,16/2/2023,to-read,to-read (#15),to-read,,,,0,0
4894,Who Moved My Cheese?,Spencer Johnson,"Johnson, Spencer",Kenneth H. Blanchard,91883768,9.78009E+12,0,Vermilion,Hardcover,98,2002,1998,,16/2/2023,to-read,to-read (#14),to-read,,,,0,0
34684622,Leonardo da Vinci,Walter Isaacson,"Isaacson, Walter",,1501139150,9.7815E+12,0,Simon & Schuster,Hardcover,600,2017,2017,,16/2/2023,to-read,to-read (#13),to-read,,,,0,0
28815,Influence: The Psychology of Persuasion,Robert B. Cialdini,"Cialdini, Robert B.",,006124189X,9.78006E+12,0,Harper Business,Paperback,320,2006,1984,,11/2/2023,to-read,to-read (#12),to-read,,,,0,0
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,61234001,9.78006E+12,0,William Morrow,Hardcover,268,2006,2005,,11/2/2023,to-read,to-read (#11),to-read,,,,0,0
5553,Six Easy Pieces: Essentials of Physics Explained by Its Most Brilliant Teacher,Richard P. Feynman,"Feynman, Richard P.",Paul C.W. Davies,465023924,9.78047E+12,0,Basic Books,Paperback,138,1995,1994,,11/2/2023,to-read,to-read (#10),to-read,,,,0,0
634583,Wings of Fire: An Autobiography,A.P.J. Abdul Kalam,"Kalam, A.P.J. Abdul",Arun Tiwari,8173711461,9.78817E+12,0,Universities Press,Paperback,180,2011,1999,,10/2/2023,to-read,to-read (#9),to-read,,,,0,0
12176421,How to Win Friends and Influence People in the Digital Age (Dale Carnegie Books),Dale Carnegie,"Carnegie, Dale",,1451629168,9.78145E+12,4,Simon & Schuster,Kindle Edition,251,2011,2011,,18/3/2022,,,read,,,,1,0
590652,The Slight Edge,Jeff Olson,"Olson, Jeff",,967285550,9.78097E+12,0,Momentum Media,Paperback,168,2005,2005,,14/12/2022,to-read,to-read (#8),to-read,,,,0,0
9420697,"The Compound Effect: Jumpstart Your Income, Your Life, Your Success",Darren Hardy,"Hardy, Darren",,,,0,SUCCESS Books,Kindle Edition,162,2010,2010,,14/12/2022,to-read,to-read (#7),to-read,,,,0,0
41677385,Hard Times Create Strong Men (Hard Times #1),Stefan Aarnio,"Aarnio, Stefan",,,,0,Clovercroft Publishing,Paperback,624,2019,2019,,11/12/2022,to-read,to-read (#6),to-read,,,,0,0
54898389,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,"Jorgenson, Eric","Timothy Ferriss, Naval Ravikant",,9.78154E+12,0,Magrathea Publishing,Kindle Edition,244,2020,2020,,15/3/2022,to-read,to-read (#5),to-read,,,,0,0
40672036,Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,"Newport, Cal",,052553654X,,0,Portfolio,Kindle Edition,302,2019,2019,,15/3/2022,to-read,to-read (#4),to-read,,,,0,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,,,4,Avery,Kindle Edition,319,2018,2018,15/3/2022,17/2/2022,,,read,,,,1,0
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,,,0,Harper,ebook,450,2017,2015,,25/2/2022,to-read,to-read (#3),to-read,,,,0,0
6732019,Rework,Jason Fried,"Fried, Jason",David Heinemeier Hansson,307463745,9.78031E+12,0,Crown Currency,Hardcover,279,2010,2010,,25/2/2022,to-read,to-read (#2),to-read,,,,0,0
31823677,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,"Ferriss, Timothy",Arnold Schwarzenegger,,,0,Houghton Mifflin Harcourt,Kindle Edition,827,2016,2016,,25/2/2022,to-read,to-read (#1),to-read,,,,0,0
2932,Robinson Crusoe,Daniel Defoe,"Defoe, Daniel",Virginia Woolf,,,0,Modern Library,Hardcover,320,2001,1719,,25/2/2022,,,read,,,,1,0
2493,The Time Machine,H.G. Wells,"Wells, H.G.","Greg Bear, Carlo Pagetti",,,0,Signet Classics,Paperback,118,2002,1895,,25/2/2022,,,read,,,,1,0
17184,The Invisible Man,H.G. Wells,"Wells, H.G.",Scott Westerfeld,451528522,9.78045E+12,0,New American Library/Penguin Books,Mass Market Paperback,192,2002,1897,,17/2/2022,,,read,,,,1,0
32672171,"Harry Potter and the Cursed Child, Parts 1 & 2 and Harry Potter and the Philosopher's Stone 2 Books Bundle Collection (Harry Potter #1&8)",J.K. Rowling,"Rowling, J.K.","Jack Thorne, John Tiffany",9123513683,9.78912E+12,0,J.K. ROWLING,Hardcover,888,2016,2016,,17/2/2022,,,read,,,,1,0
3869,A Brief History of Time,Stephen W. Hawking,"Hawking, Stephen W.",,553380168,9.78055E+12,4,Bantam Books,Paperback,226,1998,1988,,17/2/2022,,,read,,,,1,0
